,att1,def1,mid1,ovr1,rank1,att2,def2,mid2,ovr2,rank2,score,winner,att,def,mid,ovr,rank
268,84,81,84,82,3,87,84,84,84,14,-1.0,-1,-3,-3,0,-2,-11
269,81,77,75,75,38,80,69,74,74,30,-1.0,-1,1,8,1,1,8
270,82,71,78,81,5,85,73,75,76,28,2.0,1,-3,-2,3,5,-23
271,69,69,67,69,35,65,68,68,68,62,-2.0,-1,4,1,-1,1,-27
272,75,71,77,75,26,85,80,80,83,7,-1.0,-1,-10,-9,-3,-8,19
273,76,67,69,71,85,79,71,74,75,12,1.0,1,-3,-4,-5,-4,73
274,80,75,76,75,45,74,73,73,72,43,1.0,1,6,2,3,3,2
275,81,67,71,74,19,76,75,76,75,39,1.0,1,5,-8,-5,-1,-20
276,77,79,77,78,18,83,74,74,77,41,-1.0,-1,-6,5,3,1,-23
277,85,82,83,84,1,86,82,84,85,4,2.0,1,-1,0,-1,-1,-3
278,69,75,71,73,58,83,74,74,77,41,-2.0,-1,-14,1,-3,-4,17
279,74,74,74,73,68,72,66,69,70,49,2.0,1,2,8,5,3,19
280,85,83,83,83,9,87,82,84,84,6,-2.0,-1,-2,1,-1,-1,3
281,84,83,83,83,5,78,74,74,74,37,-1.0,-1,6,9,9,9,-32
282,78,82,84,82,10,73,71,68,71,57,1.0,1,5,11,16,11,-47
283,76,74,77,76,36,79,78,79,78,8,-1.0,-1,-3,-4,-2,-2,28
284,87,83,85,85,2,84,84,84,84,7,2.0,1,3,-1,1,1,-5
285,86,80,81,82,3,74,73,76,76,46,3.0,1,12,7,5,6,-43
286,71,71,69,69,30,75,68,73,74,56,1.0,1,-4,3,-4,-5,-26
287,70,68,72,72,85,78,74,74,74,37,1.0,1,-8,-6,-2,-2,48
288,87,83,85,85,2,79,75,78,78,39,1.0,1,8,8,7,7,-37
289,68,76,76,76,25,81,75,73,75,21,2.0,1,-13,1,3,1,4
290,78,82,84,82,10,70,68,72,72,85,2.0,1,8,14,12,10,-75
291,84,84,84,84,7,78,68,72,74,22,1.0,1,6,16,12,10,-15
292,71,71,69,69,30,72,66,69,70,49,1.0,1,-1,5,0,-1,-19
293,79,75,78,78,39,87,83,85,85,2,-1.0,-1,-8,-8,-7,-7,37
294,86,82,84,85,4,71,71,69,69,30,3.0,1,15,11,15,16,-26
295,70,68,72,72,85,75,68,73,74,56,1.0,1,-5,0,-1,-2,29
296,83,74,74,77,41,79,73,76,77,27,-1.0,-1,4,1,-2,0,14
297,68,76,76,76,25,85,82,83,84,1,-4.0,-1,-17,-6,-7,-8,24
298,69,63,66,70,44,87,82,84,84,6,2.0,1,-18,-19,-18,-14,38
299,73,71,68,71,57,82,76,76,78,12,-3.0,-1,-9,-5,-8,-7,45
300,86,82,84,85,4,65,62,59,60,83,1.0,1,21,20,25,25,-79
301,86,80,81,82,3,78,74,74,74,37,2.0,1,8,6,7,8,-34
302,65,62,59,60,83,87,83,85,85,2,-5.0,-1,-22,-21,-26,-25,81
303,70,68,72,72,85,65,62,59,60,83,2.0,1,5,6,13,12,2
304,70,68,72,72,85,87,83,85,85,2,-2.0,-1,-17,-15,-13,-13,83
305,86,82,84,85,4,85,82,83,84,1,-3.0,-1,1,0,1,1,3
306,70,68,72,72,85,85,82,83,84,1,-1.0,-1,-15,-14,-11,-12,84
307,70,68,72,72,85,87,83,85,85,2,-1.0,-1,-17,-15,-13,-13,83
308,69,75,71,73,58,76,71,76,75,14,-2.0,-1,-7,4,-5,-2,44
309,77,78,76,77,15,74,74,74,73,68,2.0,1,3,4,2,4,-53
310,72,67,72,71,50,76,74,77,76,36,-1.0,-1,-4,-7,-5,-5,14
311,79,75,76,75,34,75,74,75,74,24,-3.0,-1,4,1,1,1,10
312,78,74,74,74,37,74,73,76,76,46,4.0,1,4,1,-2,-2,-9
313,75,68,73,74,56,77,76,77,76,16,2.0,1,-2,-8,-4,-2,40
314,82,76,76,78,12,87,82,84,84,6,-1.0,-1,-5,-6,-8,-6,6
315,83,74,74,77,41,73,71,68,71,57,1.0,1,10,3,6,6,-16
316,78,68,72,74,22,79,75,78,78,39,-3.0,-1,-1,-7,-6,-4,-17
317,87,82,84,84,6,85,82,83,84,1,-2.0,-1,2,0,1,0,5
318,84,83,83,83,5,70,68,72,72,85,2.0,1,14,15,11,11,-80
319,72,67,72,71,50,83,74,74,77,41,-1.0,-1,-11,-7,-2,-6,9
320,87,83,85,85,2,74,74,74,73,68,5.0,1,13,9,11,12,-66
321,77,74,78,77,13,77,76,77,76,16,2.0,1,0,-2,1,1,-3
322,79,75,76,75,34,70,68,72,72,85,1.0,1,9,7,4,3,-51
